From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
60;10798;33.07;22.50;22.629;1525.90;0.00;18/07/2017;7:12:50
60;10799;33.07;22.50;22.629;1525.90;0.09;18/07/2017;7:12:51
60;10800;33.06;22.52;22.601;1526.08;0.16;18/07/2017;7:12:52
60;10801;33.04;22.55;22.579;1526.12;0.18;18/07/2017;7:12:53
60;10802;33.03;22.56;22.569;1526.14;0.24;18/07/2017;7:12:54
60;10803;33.04;22.56;22.576;1526.15;0.22;18/07/2017;7:12:55
60;10804;33.04;22.56;22.576;1526.16;0.21;18/07/2017;7:12:56
60;10805;33.04;22.56;22.576;1526.15;0.22;18/07/2017;7:12:57
60;10806;33.04;22.56;22.576;1526.16;0.23;18/07/2017;7:12:58
60;10807;33.04;22.57;22.574;1526.17;0.22;18/07/2017;7:12:59
60;10808;33.03;22.56;22.566;1526.16;0.21;18/07/2017;7:13:00
60;10809;33.03;22.56;22.567;1526.16;0.22;18/07/2017;7:13:01
60;10810;33.03;22.56;22.567;1526.16;0.21;18/07/2017;7:13:02
60;10811;33.03;22.56;22.567;1526.16;0.23;18/07/2017;7:13:03
60;10812;33.03;22.56;22.567;1526.16;0.22;18/07/2017;7:13:04
60;10813;33.04;22.56;22.575;1526.17;0.20;18/07/2017;7:13:05
60;10814;33.03;22.57;22.566;1526.17;0.21;18/07/2017;7:13:06
60;10815;33.04;22.56;22.574;1526.17;0.21;18/07/2017;7:13:07
60;10816;33.04;22.56;22.575;1526.17;0.23;18/07/2017;7:13:08
60;10817;33.03;22.57;22.566;1526.17;0.20;18/07/2017;7:13:09
60;10818;33.04;22.56;22.574;1526.17;0.22;18/07/2017;7:13:10
60;10819;33.03;22.56;22.568;1526.15;0.24;18/07/2017;7:13:11
60;10820;33.03;22.56;22.568;1526.15;0.21;18/07/2017;7:13:12
60;10821;33.04;22.56;22.575;1526.16;0.20;18/07/2017;7:13:13
60;10822;33.03;22.56;22.568;1526.16;0.21;18/07/2017;7:13:14
60;10823;33.04;22.56;22.576;1526.16;0.24;18/07/2017;7:13:15
60;10824;33.04;22.56;22.575;1526.17;0.22;18/07/2017;7:13:16
60;10825;33.03;22.56;22.567;1526.16;0.22;18/07/2017;7:13:17
60;10826;33.03;22.56;22.569;1526.14;0.22;18/07/2017;7:13:18
