From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
69;12855;32.65;22.84;22.124;1526.35;0.00;18/07/2017;14:04:34
69;12855;32.55;22.84;22.124;1526.35;0.14;18/07/2017;14:04:36
69;12856;32.45;22.88;22.036;1526.36;0.17;18/07/2017;14:04:37
69;12857;32.51;22.90;22.078;1526.45;0.16;18/07/2017;14:04:38
69;12858;32.59;22.90;22.137;1526.56;0.15;18/07/2017;14:04:39
69;12859;32.58;22.91;22.127;1526.57;0.14;18/07/2017;14:04:40
69;12860;32.59;22.91;22.135;1526.57;0.15;18/07/2017;14:04:41
69;12861;32.59;22.91;22.135;1526.57;0.15;18/07/2017;14:04:42
69;12862;32.56;22.92;22.108;1526.58;0.15;18/07/2017;14:04:43
69;12863;32.57;22.92;22.116;1526.59;0.16;18/07/2017;14:04:44
69;12864;32.57;22.92;22.115;1526.59;0.16;18/07/2017;14:04:45
69;12865;32.56;22.93;22.107;1526.59;0.15;18/07/2017;14:04:46
69;12866;32.56;22.92;22.109;1526.57;0.14;18/07/2017;14:04:47
69;12867;32.57;22.92;22.118;1526.56;0.15;18/07/2017;14:04:48
69;12868;32.60;22.91;22.143;1526.58;0.15;18/07/2017;14:04:49
69;12869;32.57;22.92;22.117;1526.58;0.15;18/07/2017;14:04:50
69;12870;32.56;22.92;22.108;1526.58;0.13;18/07/2017;14:04:51
69;12871;32.58;22.92;22.124;1526.59;0.13;18/07/2017;14:04:52
69;12872;32.58;22.92;22.123;1526.60;0.13;18/07/2017;14:04:53
69;12873;32.58;22.93;22.123;1526.61;0.13;18/07/2017;14:04:54
69;12874;32.59;22.92;22.132;1526.60;0.14;18/07/2017;14:04:55
69;12875;32.58;22.92;22.125;1526.59;0.14;18/07/2017;14:04:56
69;12876;32.59;22.92;22.133;1526.60;0.15;18/07/2017;14:04:57
69;12877;32.60;22.92;22.139;1526.62;0.13;18/07/2017;14:04:58
69;12878;32.60;22.92;22.140;1526.61;0.15;18/07/2017;14:04:59
69;12879;32.61;22.92;22.148;1526.61;0.15;18/07/2017;14:05:00
69;12880;32.61;22.91;22.149;1526.60;0.14;18/07/2017;14:05:01
69;12881;32.61;22.91;22.149;1526.60;0.15;18/07/2017;14:05:02
69;12882;32.60;22.91;22.141;1526.59;0.15;18/07/2017;14:05:03
69;12883;32.60;22.91;22.142;1526.59;0.16;18/07/2017;14:05:04
69;12884;32.60;22.91;22.142;1526.59;0.15;18/07/2017;14:05:05
69;12885;32.60;22.91;22.142;1526.59;0.15;18/07/2017;14:05:06
69;12886;32.59;22.91;22.135;1526.58;0.14;18/07/2017;14:05:07
69;12887;32.60;22.91;22.143;1526.59;0.15;18/07/2017;14:05:08
69;12888;32.61;22.91;22.150;1526.60;0.15;18/07/2017;14:05:09
69;12889;32.60;22.91;22.142;1526.58;0.18;18/07/2017;14:05:10
69;12890;32.60;22.91;22.143;1526.59;0.18;18/07/2017;14:05:11
69;12891;32.61;22.91;22.150;1526.60;0.17;18/07/2017;14:05:12
69;12892;32.60;22.91;22.142;1526.59;0.18;18/07/2017;14:05:13
69;12893;32.60;22.91;22.143;1526.58;0.19;18/07/2017;14:05:14
69;12894;32.59;22.91;22.135;1526.58;0.18;18/07/2017;14:05:15
69;12895;32.59;22.91;22.135;1526.58;0.19;18/07/2017;14:05:16
69;12896;32.60;22.91;22.142;1526.59;0.19;18/07/2017;14:05:17
69;12897;32.61;22.91;22.149;1526.60;0.18;18/07/2017;14:05:18
69;12898;32.59;22.91;22.134;1526.57;0.15;18/07/2017;14:05:19
69;12899;32.59;22.91;22.134;1526.58;0.17;18/07/2017;14:05:20
69;12900;32.59;22.91;22.134;1526.59;0.18;18/07/2017;14:05:21
69;12901;32.59;22.91;22.135;1526.58;0.17;18/07/2017;14:05:22
69;12902;32.59;22.91;22.136;1526.57;0.16;18/07/2017;14:05:23
69;12903;32.60;22.91;22.144;1526.58;0.18;18/07/2017;14:05:24
69;12904;32.59;22.91;22.135;1526.57;0.18;18/07/2017;14:05:25
69;12905;32.59;22.92;22.133;1526.59;0.17;18/07/2017;14:05:26
69;12906;32.58;22.92;22.126;1526.58;0.16;18/07/2017;14:05:27
69;12907;32.58;22.92;22.125;1526.59;0.16;18/07/2017;14:05:28
69;12908;32.59;22.92;22.132;1526.59;0.17;18/07/2017;14:05:29
69;12909;32.59;22.92;22.133;1526.59;0.17;18/07/2017;14:05:30
69;12910;32.60;22.91;22.142;1526.59;0.18;18/07/2017;14:05:31
69;12911;32.59;22.91;22.135;1526.58;0.18;18/07/2017;14:05:32
69;12912;32.60;22.91;22.142;1526.59;0.18;18/07/2017;14:05:33
69;12913;32.60;22.91;22.142;1526.59;0.18;18/07/2017;14:05:34
69;12914;32.61;22.91;22.152;1526.58;0.26;18/07/2017;14:05:35
69;12915;32.62;22.91;22.159;1526.60;0.36;18/07/2017;14:05:36
69;12916;32.61;22.91;22.153;1526.60;0.55;18/07/2017;14:05:37
69;12917;32.62;22.91;22.161;1526.61;0.74;18/07/2017;14:05:38
69;12918;32.61;22.91;22.154;1526.60;0.80;18/07/2017;14:05:39
69;12919;32.61;22.90;22.155;1526.59;0.98;18/07/2017;14:05:40
69;12920;32.61;22.90;22.157;1526.59;1.08;18/07/2017;14:05:41
69;12921;32.63;22.90;22.174;1526.60;1.24;18/07/2017;14:05:42
