From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
70;13163;32.68;22.78;22.290;1525.63;0.00;18/07/2017;15:05:47
70;13163;32.65;22.80;22.290;1525.63;0.09;18/07/2017;15:05:48
70;13164;32.51;22.80;22.111;1526.14;0.13;18/07/2017;15:05:49
70;13165;32.46;22.84;22.055;1526.26;0.15;18/07/2017;15:05:50
70;13166;32.45;22.87;22.041;1526.32;0.15;18/07/2017;15:05:51
70;13167;32.46;22.88;22.046;1526.34;0.14;18/07/2017;15:05:52
70;13168;32.46;22.88;22.045;1526.35;0.14;18/07/2017;15:05:53
70;13169;32.47;22.88;22.052;1526.37;0.15;18/07/2017;15:05:54
70;13170;32.47;22.88;22.052;1526.37;0.14;18/07/2017;15:05:55
70;13171;32.47;22.89;22.051;1526.38;0.15;18/07/2017;15:05:56
70;13172;32.46;22.89;22.042;1526.38;0.15;18/07/2017;15:05:57
70;13173;32.46;22.89;22.041;1526.38;0.15;18/07/2017;15:05:58
70;13174;32.47;22.89;22.050;1526.39;0.15;18/07/2017;15:05:59
70;13175;32.46;22.89;22.043;1526.38;0.15;18/07/2017;15:06:00
70;13176;32.45;22.89;22.035;1526.37;0.16;18/07/2017;15:06:01
70;13177;32.45;22.89;22.034;1526.38;0.18;18/07/2017;15:06:02
70;13178;32.46;22.89;22.042;1526.39;0.19;18/07/2017;15:06:03
70;13179;32.46;22.89;22.042;1526.39;0.18;18/07/2017;15:06:04
70;13180;32.45;22.89;22.035;1526.37;0.19;18/07/2017;15:06:05
70;13181;32.46;22.89;22.042;1526.38;0.18;18/07/2017;15:06:06
70;13182;32.46;22.89;22.042;1526.38;0.19;18/07/2017;15:06:07
70;13183;32.46;22.89;22.042;1526.38;0.19;18/07/2017;15:06:08
70;13184;32.45;22.89;22.035;1526.37;0.19;18/07/2017;15:06:09
70;13185;32.46;22.89;22.042;1526.38;0.18;18/07/2017;15:06:10
70;13186;32.46;22.89;22.043;1526.38;0.19;18/07/2017;15:06:11
70;13187;32.45;22.89;22.035;1526.37;0.18;18/07/2017;15:06:12
70;13188;32.47;22.89;22.049;1526.40;0.18;18/07/2017;15:06:13
70;13189;32.44;22.89;22.026;1526.37;0.18;18/07/2017;15:06:14
70;13190;32.45;22.89;22.034;1526.37;0.18;18/07/2017;15:06:15
70;13191;32.44;22.89;22.027;1526.36;0.18;18/07/2017;15:06:16
70;13192;32.46;22.89;22.042;1526.38;0.18;18/07/2017;15:06:17
70;13193;32.47;22.89;22.050;1526.39;0.17;18/07/2017;15:06:18
70;13194;32.46;22.89;22.042;1526.38;0.18;18/07/2017;15:06:19
70;13195;32.47;22.89;22.051;1526.38;0.18;18/07/2017;15:06:20
70;13196;32.46;22.89;22.043;1526.38;0.18;18/07/2017;15:06:21
70;13197;32.46;22.89;22.043;1526.38;0.18;18/07/2017;15:06:22
70;13198;32.47;22.89;22.051;1526.38;0.18;18/07/2017;15:06:23
70;13199;32.46;22.88;22.044;1526.36;0.18;18/07/2017;15:06:24
70;13200;32.47;22.88;22.051;1526.38;0.18;18/07/2017;15:06:25
70;13201;32.47;22.89;22.050;1526.39;0.18;18/07/2017;15:06:26
70;13202;32.46;22.89;22.043;1526.37;0.19;18/07/2017;15:06:27
70;13203;32.46;22.89;22.043;1526.37;0.19;18/07/2017;15:06:28
70;13204;32.46;22.89;22.044;1526.36;0.18;18/07/2017;15:06:29
70;13205;32.45;22.88;22.037;1526.36;0.19;18/07/2017;15:06:30
70;13206;32.46;22.88;22.044;1526.36;0.18;18/07/2017;15:06:31
70;13207;32.45;22.88;22.037;1526.36;0.19;18/07/2017;15:06:32
70;13208;32.44;22.88;22.029;1526.34;0.18;18/07/2017;15:06:33
70;13209;32.45;22.88;22.036;1526.36;0.17;18/07/2017;15:06:34
70;13210;32.44;22.88;22.029;1526.34;0.17;18/07/2017;15:06:35
70;13211;32.46;22.89;22.043;1526.37;0.18;18/07/2017;15:06:36
70;13212;32.46;22.89;22.043;1526.37;0.17;18/07/2017;15:06:37
70;13213;32.45;22.89;22.036;1526.36;0.18;18/07/2017;15:06:38
70;13214;32.46;22.88;22.044;1526.36;0.18;18/07/2017;15:06:39
70;13215;32.46;22.88;22.044;1526.37;0.19;18/07/2017;15:06:40
70;13216;32.46;22.88;22.045;1526.36;0.18;18/07/2017;15:06:41
70;13217;32.45;22.88;22.038;1526.34;0.17;18/07/2017;15:06:42
