From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
68;12545;33.02;22.68;22.734;1524.16;0.00;18/07/2017;13:06:00
68;12545;33.00;22.68;22.734;1524.16;0.07;18/07/2017;13:06:01
68;12545;32.98;22.70;22.734;1524.16;0.13;18/07/2017;13:06:02
68;12546;32.46;22.71;22.120;1525.67;0.14;18/07/2017;13:06:03
68;12547;32.78;22.78;22.315;1526.46;0.14;18/07/2017;13:06:04
68;12548;32.77;22.82;22.296;1526.54;0.13;18/07/2017;13:06:05
68;12549;32.76;22.83;22.285;1526.57;0.14;18/07/2017;13:06:06
68;12550;32.76;22.84;22.283;1526.58;0.15;18/07/2017;13:06:07
68;12551;28.59;22.85;19.124;1522.04;0.03;18/07/2017;13:06:08
68;12552;32.38;22.85;21.993;1526.19;0.07;18/07/2017;13:06:09
68;12553;32.77;22.84;22.290;1526.61;0.34;18/07/2017;13:06:10
68;12554;32.78;22.85;22.299;1526.62;0.73;18/07/2017;13:06:11
68;12555;32.79;22.84;22.308;1526.64;0.73;18/07/2017;13:06:12
68;12556;32.81;22.84;22.324;1526.64;0.73;18/07/2017;13:06:13
68;12557;32.80;22.84;22.317;1526.62;0.74;18/07/2017;13:06:14
68;12558;32.79;22.84;22.308;1526.63;0.74;18/07/2017;13:06:15
68;12559;32.79;22.84;22.309;1526.62;0.75;18/07/2017;13:06:16
68;12560;32.79;22.84;22.309;1526.62;0.76;18/07/2017;13:06:17
68;12561;32.79;22.84;22.308;1526.63;0.76;18/07/2017;13:06:18
68;12562;32.81;22.84;22.324;1526.64;0.78;18/07/2017;13:06:19
68;12563;32.80;22.84;22.317;1526.63;0.78;18/07/2017;13:06:20
68;12564;32.82;22.83;22.334;1526.64;0.79;18/07/2017;13:06:21
68;12565;32.82;22.83;22.334;1526.63;0.77;18/07/2017;13:06:22
68;12566;32.82;22.83;22.335;1526.64;0.85;18/07/2017;13:06:23
68;12567;32.82;22.83;22.336;1526.65;1.26;18/07/2017;13:06:24
68;12568;32.81;22.83;22.328;1526.64;1.26;18/07/2017;13:06:25
68;12569;32.82;22.83;22.336;1526.65;1.26;18/07/2017;13:06:26
68;12570;32.82;22.83;22.336;1526.65;1.26;18/07/2017;13:06:27
68;12571;32.82;22.83;22.336;1526.65;1.27;18/07/2017;13:06:28
68;12572;32.81;22.84;22.326;1526.66;1.27;18/07/2017;13:06:29
68;12573;32.78;22.85;22.299;1526.66;1.27;18/07/2017;13:06:30
