From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
58;10511;32.62;22.05;22.317;1523.84;0.00;18/07/2017;6:09:45
58;10512;32.62;22.05;22.454;1523.84;0.09;18/07/2017;6:09:46
58;10513;32.42;22.14;22.221;1524.40;0.11;18/07/2017;6:09:47
58;10514;32.42;22.21;22.203;1524.56;0.12;18/07/2017;6:09:48
58;10515;32.40;22.23;22.181;1524.60;0.14;18/07/2017;6:09:49
58;10516;32.42;22.24;22.194;1524.65;0.17;18/07/2017;6:09:50
58;10517;31.97;22.24;21.853;1524.15;0.09;18/07/2017;6:09:51
58;10518;32.63;22.24;22.353;1524.88;0.11;18/07/2017;6:09:52
58;10519;32.64;22.24;22.362;1524.88;0.19;18/07/2017;6:09:53
58;10520;32.63;22.24;22.354;1524.87;0.13;18/07/2017;6:09:54
58;10521;32.63;22.24;22.354;1524.87;0.15;18/07/2017;6:09:55
58;10522;32.63;22.24;22.354;1524.87;0.18;18/07/2017;6:09:56
58;10523;32.63;22.24;22.354;1524.87;0.14;18/07/2017;6:09:57
58;10524;32.63;22.24;22.354;1524.87;0.17;18/07/2017;6:09:58
58;10525;32.64;22.24;22.361;1524.89;0.17;18/07/2017;6:09:59
58;10526;32.63;22.24;22.354;1524.88;0.15;18/07/2017;6:10:00
58;10527;32.65;22.24;22.370;1524.89;0.15;18/07/2017;6:10:01
58;10528;32.65;22.23;22.371;1524.88;0.17;18/07/2017;6:10:02
58;10529;32.65;22.24;22.369;1524.90;0.17;18/07/2017;6:10:03
58;10530;32.65;22.24;22.368;1524.91;0.18;18/07/2017;6:10:04
58;10531;32.64;22.24;22.360;1524.90;0.21;18/07/2017;6:10:05
58;10532;32.62;22.25;22.343;1524.89;0.12;18/07/2017;6:10:06
58;10533;32.65;22.26;22.364;1524.94;0.18;18/07/2017;6:10:07
58;10534;32.66;22.25;22.373;1524.94;0.20;18/07/2017;6:10:08
58;10535;32.65;22.25;22.366;1524.93;0.15;18/07/2017;6:10:09
58;10536;32.65;22.25;22.366;1524.93;0.19;18/07/2017;6:10:10
58;10537;32.64;22.25;22.358;1524.93;0.18;18/07/2017;6:10:11
58;10538;32.64;22.25;22.358;1524.92;0.16;18/07/2017;6:10:12
58;10539;32.64;22.25;22.359;1524.92;0.19;18/07/2017;6:10:13
58;10540;32.65;22.25;22.367;1524.92;0.23;18/07/2017;6:10:14
58;10541;32.64;22.25;22.358;1524.92;0.13;18/07/2017;6:10:15
58;10542;32.67;22.26;22.379;1524.97;0.20;18/07/2017;6:10:16
58;10543;32.67;22.26;22.379;1524.97;0.24;18/07/2017;6:10:17
58;10544;32.67;22.26;22.377;1524.98;0.16;18/07/2017;6:10:18
58;10545;32.67;22.27;22.377;1524.99;0.19;18/07/2017;6:10:19
58;10546;32.67;22.27;22.376;1525.00;0.23;18/07/2017;6:10:20
58;10547;32.66;22.27;22.367;1525.00;0.19;18/07/2017;6:10:21
58;10548;32.66;22.27;22.368;1525.00;0.20;18/07/2017;6:10:22
58;10549;32.67;22.27;22.376;1525.01;0.23;18/07/2017;6:10:23
58;10550;32.66;22.27;22.367;1525.00;0.19;18/07/2017;6:10:24
58;10551;32.66;22.28;22.366;1525.02;0.20;18/07/2017;6:10:25
58;10552;32.66;22.28;22.365;1525.03;0.25;18/07/2017;6:10:26
58;10553;32.66;22.28;22.364;1525.03;0.21;18/07/2017;6:10:27
58;10554;32.66;22.29;22.364;1525.04;0.22;18/07/2017;6:10:28
58;10555;32.67;22.29;22.372;1525.04;0.26;18/07/2017;6:10:29
58;10556;32.66;22.28;22.366;1525.01;0.20;18/07/2017;6:10:30
58;10557;32.67;22.27;22.375;1525.02;0.23;18/07/2017;6:10:31
58;10558;32.66;22.27;22.367;1525.01;0.29;18/07/2017;6:10:32
58;10559;32.66;22.26;22.370;1524.98;0.22;18/07/2017;6:10:33
58;10560;32.66;22.26;22.371;1524.97;0.22;18/07/2017;6:10:34
58;10561;32.66;22.26;22.371;1524.97;0.27;18/07/2017;6:10:35
58;10562;32.66;22.26;22.371;1524.97;0.24;18/07/2017;6:10:36
58;10563;32.66;22.26;22.371;1524.97;0.25;18/07/2017;6:10:37
58;10564;32.66;22.26;22.372;1524.96;0.26;18/07/2017;6:10:38
58;10565;32.66;22.26;22.371;1524.97;0.26;18/07/2017;6:10:39
58;10566;32.66;22.26;22.370;1524.97;0.23;18/07/2017;6:10:40
58;10567;32.66;22.27;22.370;1524.98;0.26;18/07/2017;6:10:41
58;10568;32.66;22.26;22.370;1524.97;0.27;18/07/2017;6:10:42
58;10569;32.66;22.27;22.369;1524.99;0.24;18/07/2017;6:10:43
58;10570;32.65;22.27;22.362;1524.98;0.26;18/07/2017;6:10:44
58;10571;32.66;22.27;22.370;1524.98;0.28;18/07/2017;6:10:45
58;10572;32.66;22.26;22.370;1524.97;0.27;18/07/2017;6:10:46
58;10573;32.66;22.27;22.369;1524.98;0.29;18/07/2017;6:10:47
58;10574;32.67;22.27;22.376;1525.00;0.26;18/07/2017;6:10:48
58;10575;32.66;22.28;22.367;1525.01;0.26;18/07/2017;6:10:49
58;10576;32.66;22.28;22.365;1525.02;0.27;18/07/2017;6:10:50
58;10577;32.66;22.28;22.365;1525.03;0.26;18/07/2017;6:10:51
58;10578;32.66;22.28;22.365;1525.02;0.28;18/07/2017;6:10:52
58;10579;32.66;22.28;22.367;1525.01;0.27;18/07/2017;6:10:53
58;10580;32.67;22.28;22.374;1525.02;0.25;18/07/2017;6:10:54
58;10581;32.68;22.28;22.382;1525.03;0.27;18/07/2017;6:10:55
58;10582;32.68;22.27;22.383;1525.03;0.26;18/07/2017;6:10:56
58;10583;32.67;22.29;22.371;1525.05;0.25;18/07/2017;6:10:57
58;10584;32.67;22.29;22.371;1525.05;0.31;18/07/2017;6:10:58
58;10585;32.68;22.29;22.378;1525.07;0.29;18/07/2017;6:10:59
58;10586;32.67;22.29;22.370;1525.07;0.24;18/07/2017;6:11:00
58;10587;32.67;22.30;22.369;1525.07;0.32;18/07/2017;6:11:01
58;10588;32.68;22.32;22.370;1525.15;0.45;18/07/2017;6:11:02
58;10589;32.68;22.32;22.371;1525.15;0.57;18/07/2017;6:11:03
58;10590;32.68;22.32;22.372;1525.16;0.71;18/07/2017;6:11:04
58;10591;32.69;22.32;22.379;1525.17;0.81;18/07/2017;6:11:05
58;10592;32.70;22.33;22.386;1525.19;0.90;18/07/2017;6:11:06
58;10593;32.69;22.33;22.378;1525.19;0.92;18/07/2017;6:11:07
58;10594;32.70;22.33;22.386;1525.19;0.96;18/07/2017;6:11:08
58;10595;32.69;22.33;22.379;1525.19;1.01;18/07/2017;6:11:09
58;10596;32.69;22.33;22.379;1525.19;1.09;18/07/2017;6:11:10
58;10597;32.69;22.33;22.379;1525.19;1.15;18/07/2017;6:11:11
58;10598;32.69;22.33;22.379;1525.19;1.22;18/07/2017;6:11:12
58;10599;32.70;22.33;22.388;1525.20;1.30;18/07/2017;6:11:13
58;10600;32.68;22.33;22.373;1525.18;1.37;18/07/2017;6:11:14
58;10601;32.68;22.33;22.371;1525.20;1.38;18/07/2017;6:11:15
58;10602;32.69;22.33;22.378;1525.21;1.42;18/07/2017;6:11:16
58;10603;32.71;22.34;22.393;1525.24;1.47;18/07/2017;6:11:17
58;10604;32.72;22.35;22.398;1525.28;1.52;18/07/2017;6:11:18
58;10605;32.70;22.34;22.385;1525.25;1.60;18/07/2017;6:11:19
58;10606;32.70;22.34;22.386;1525.24;1.68;18/07/2017;6:11:20
