From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
66;12004;33.33;22.78;21.373;1522.98;0.00;18/07/2017;11:05:45
66;12004;33.28;22.78;21.373;1522.98;0.08;18/07/2017;11:05:46
66;12005;33.39;22.80;22.801;1526.91;0.18;18/07/2017;11:05:47
66;12006;33.30;22.82;22.699;1527.11;0.20;18/07/2017;11:05:48
66;12007;33.27;22.84;22.669;1527.15;0.22;18/07/2017;11:05:49
66;12008;33.27;22.86;22.665;1527.18;0.17;18/07/2017;11:05:50
66;12009;33.27;22.86;22.664;1527.20;0.20;18/07/2017;11:05:51
66;12010;33.26;22.86;22.656;1527.18;0.17;18/07/2017;11:05:52
66;12011;33.27;22.86;22.664;1527.19;0.21;18/07/2017;11:05:53
66;12012;33.26;22.86;22.656;1527.19;0.19;18/07/2017;11:05:54
66;12013;33.25;22.86;22.648;1527.18;0.20;18/07/2017;11:05:55
66;12014;33.26;22.86;22.656;1527.19;0.20;18/07/2017;11:05:56
66;12015;33.26;22.86;22.656;1527.19;0.19;18/07/2017;11:05:57
66;12016;33.26;22.86;22.657;1527.18;0.21;18/07/2017;11:05:58
66;12017;33.26;22.86;22.657;1527.18;0.19;18/07/2017;11:05:59
66;12018;33.26;22.86;22.656;1527.19;0.21;18/07/2017;11:06:00
66;12019;33.26;22.86;22.656;1527.18;0.18;18/07/2017;11:06:01
66;12020;33.25;22.86;22.648;1527.18;0.17;18/07/2017;11:06:02
66;12021;33.26;22.86;22.656;1527.18;0.17;18/07/2017;11:06:03
66;12022;33.26;22.86;22.656;1527.19;0.17;18/07/2017;11:06:04
66;12023;33.26;22.86;22.657;1527.19;0.20;18/07/2017;11:06:05
66;12024;33.27;22.86;22.664;1527.20;0.18;18/07/2017;11:06:06
66;12025;33.27;22.85;22.664;1492.29;0.18;18/07/2017;11:06:07
66;12026;33.27;22.84;22.664;1490.72;0.17;18/07/2017;11:06:08
66;12027;31.90;22.83;21.634;1525.62;0.18;18/07/2017;11:06:09
66;12028;33.18;22.85;22.598;1527.07;0.16;18/07/2017;11:06:10
66;12029;33.28;22.86;22.673;1527.19;0.14;18/07/2017;11:06:11
66;12030;33.28;22.86;22.672;1527.19;0.12;18/07/2017;11:06:12
66;12031;33.28;22.86;22.672;1527.20;0.13;18/07/2017;11:06:13
66;12032;33.27;22.86;22.664;1527.20;0.17;18/07/2017;11:06:14
66;12033;33.27;22.86;22.664;1527.19;0.16;18/07/2017;11:06:15
66;12034;33.28;22.86;22.672;1527.20;0.15;18/07/2017;11:06:16
66;12035;33.28;22.86;22.672;1527.20;0.15;18/07/2017;11:06:17
66;12036;33.28;22.86;22.672;1527.20;0.16;18/07/2017;11:06:18
66;12037;33.29;22.86;22.680;1527.20;0.18;18/07/2017;11:06:19
66;12038;33.28;22.86;22.673;1527.19;0.17;18/07/2017;11:06:20
66;12039;33.28;22.86;22.673;1527.19;0.18;18/07/2017;11:06:21
66;12040;33.29;22.86;22.681;1527.20;0.19;18/07/2017;11:06:22
66;12041;33.29;22.85;22.681;1527.20;0.14;18/07/2017;11:06:23
66;12042;30.38;22.84;22.631;1491.16;0.13;18/07/2017;11:06:24
66;12043;33.21;22.85;22.621;1527.10;0.11;18/07/2017;11:06:25
