From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
64;11621;26.26;22.59;17.436;1518.83;0.18;18/07/2017;10:06:54
64;11622;27.42;22.75;18.267;1520.53;0.17;18/07/2017;10:06:55
64;11623;27.49;22.80;18.307;1520.72;0.19;18/07/2017;10:06:56
64;11624;27.48;22.81;18.296;1520.75;0.18;18/07/2017;10:06:57
64;11625;27.49;22.82;18.301;1520.78;0.19;18/07/2017;10:06:58
64;11626;27.49;22.83;18.300;1520.80;0.18;18/07/2017;10:06:59
64;11627;27.47;22.83;18.284;1520.77;0.18;18/07/2017;10:07:00
64;11628;27.48;22.83;18.291;1520.79;0.17;18/07/2017;10:07:01
64;11629;27.46;22.83;18.276;1520.77;0.17;18/07/2017;10:07:02
64;11630;27.46;22.83;18.275;1520.78;0.16;18/07/2017;10:07:03
64;11631;27.44;22.83;18.260;1520.76;0.17;18/07/2017;10:07:04
64;11632;27.42;22.83;18.244;1520.74;0.16;18/07/2017;10:07:05
64;11633;27.44;22.83;18.260;1520.76;0.17;18/07/2017;10:07:06
64;11634;27.46;22.83;18.275;1520.79;0.18;18/07/2017;10:07:07
64;11635;27.46;22.83;18.275;1520.77;0.17;18/07/2017;10:07:08
64;11636;27.48;22.83;18.291;1520.80;0.16;18/07/2017;10:07:09
64;11637;27.45;22.83;18.268;1520.77;0.17;18/07/2017;10:07:10
64;11638;27.47;22.83;18.283;1520.78;0.17;18/07/2017;10:07:11
64;11639;27.46;22.83;18.276;1520.77;0.16;18/07/2017;10:07:12
64;11640;27.44;22.83;18.261;1520.75;0.15;18/07/2017;10:07:13
64;11641;27.45;22.83;18.269;1520.76;0.18;18/07/2017;10:07:14
64;11642;27.46;22.82;18.278;1520.75;0.18;18/07/2017;10:07:15
64;11643;27.47;22.83;18.284;1520.78;0.19;18/07/2017;10:07:16
64;11644;27.46;22.83;18.276;1520.77;0.19;18/07/2017;10:07:17
64;11645;27.47;22.83;18.284;1520.78;0.18;18/07/2017;10:07:18
64;11646;27.47;22.83;18.284;1520.78;0.19;18/07/2017;10:07:19
64;11647;27.48;22.83;18.291;1520.79;0.18;18/07/2017;10:07:20
64;11648;27.47;22.83;18.284;1520.78;0.19;18/07/2017;10:07:21
64;11649;27.47;22.83;18.283;1520.78;0.20;18/07/2017;10:07:22
64;11650;27.47;22.83;18.283;1520.79;0.20;18/07/2017;10:07:23
64;11651;27.48;22.83;18.290;1520.80;0.19;18/07/2017;10:07:24
64;11652;27.47;22.83;18.282;1520.79;0.19;18/07/2017;10:07:25
64;11653;27.49;22.83;18.298;1520.82;0.21;18/07/2017;10:07:26
64;11654;27.50;22.83;18.305;1520.83;0.22;18/07/2017;10:07:27
64;11655;27.49;22.83;18.298;1520.81;0.21;18/07/2017;10:07:28
64;11656;27.50;22.83;18.305;1520.83;0.22;18/07/2017;10:07:29
64;11657;27.51;22.83;18.313;1520.83;0.23;18/07/2017;10:07:30
