From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
62;11385;32.35;22.97;21.876;1526.93;0.00;18/07/2017;9:06:53
62;11385;32.34;22.99;21.876;1526.93;0.10;18/07/2017;9:06:54
62;11386;33.24;22.86;22.643;1527.15;0.22;18/07/2017;9:06:55
62;11387;33.29;22.80;22.697;1527.07;0.28;18/07/2017;9:06:56
62;11388;33.26;22.79;22.677;1527.00;0.29;18/07/2017;9:06:57
62;11389;33.30;22.77;22.713;1527.00;0.32;18/07/2017;9:06:58
62;11390;33.29;22.74;22.713;1526.91;0.31;18/07/2017;9:06:59
62;11391;33.33;22.75;22.743;1526.96;0.32;18/07/2017;9:07:00
62;11392;33.32;22.74;22.738;1526.93;0.34;18/07/2017;9:07:01
62;11393;33.28;22.74;22.707;1526.89;0.33;18/07/2017;9:07:02
62;11394;33.28;22.74;22.707;1526.89;0.31;18/07/2017;9:07:03
62;11395;33.25;22.72;22.689;1526.82;0.32;18/07/2017;9:07:04
62;11396;33.25;22.70;22.694;1526.77;0.33;18/07/2017;9:07:05
62;11397;33.25;22.69;22.697;1526.75;0.35;18/07/2017;9:07:06
62;11398;33.26;22.69;22.706;1526.73;0.31;18/07/2017;9:07:07
62;11399;33.26;22.70;22.704;1526.76;0.30;18/07/2017;9:07:08
62;11400;33.26;22.70;22.704;1526.76;0.32;18/07/2017;9:07:09
62;11401;33.25;22.70;22.695;1526.76;0.32;18/07/2017;9:07:10
62;11402;33.26;22.70;22.702;1526.78;0.34;18/07/2017;9:07:11
62;11403;33.28;22.70;22.718;1526.79;0.38;18/07/2017;9:07:12
62;11404;33.27;22.71;22.709;1526.80;0.38;18/07/2017;9:07:13
62;11405;33.28;22.70;22.717;1526.80;0.40;18/07/2017;9:07:14
62;11406;33.26;22.71;22.700;1526.80;0.38;18/07/2017;9:07:15
62;11407;33.25;22.72;22.691;1526.80;0.40;18/07/2017;9:07:16
62;11408;33.25;22.70;22.695;1526.76;0.39;18/07/2017;9:07:17
62;11409;33.24;22.71;22.686;1526.77;0.41;18/07/2017;9:07:18
62;11410;33.25;22.71;22.693;1526.78;0.45;18/07/2017;9:07:19
62;11411;33.25;22.70;22.695;1526.77;0.47;18/07/2017;9:07:20
62;11412;33.26;22.71;22.701;1526.79;0.49;18/07/2017;9:07:21
62;11413;33.26;22.71;22.701;1526.79;0.50;18/07/2017;9:07:22
62;11414;33.25;22.71;22.693;1526.78;0.54;18/07/2017;9:07:23
62;11415;33.24;22.71;22.685;1526.79;0.58;18/07/2017;9:07:24
62;11416;33.24;22.71;22.686;1526.79;0.62;18/07/2017;9:07:25
62;11417;33.26;22.71;22.702;1526.80;0.76;18/07/2017;9:07:26
62;11418;33.27;22.70;22.713;1526.78;0.87;18/07/2017;9:07:27
62;11419;33.27;22.69;22.714;1526.77;0.92;18/07/2017;9:07:28
62;11420;33.30;22.70;22.737;1526.81;1.04;18/07/2017;9:07:29
62;11421;33.31;22.71;22.742;1526.85;1.14;18/07/2017;9:07:30
62;11422;33.32;22.71;22.749;1526.88;1.23;18/07/2017;9:07:31
62;11423;33.34;22.70;22.766;1526.89;1.25;18/07/2017;9:07:32
62;11424;33.35;22.71;22.772;1526.92;1.33;18/07/2017;9:07:33
62;11425;33.36;22.72;22.778;1526.94;1.43;18/07/2017;9:07:34
62;11426;33.37;22.73;22.784;1526.98;1.49;18/07/2017;9:07:35
62;11427;33.39;22.72;22.801;1526.98;1.58;18/07/2017;9:07:36
62;11428;33.40;22.71;22.812;1526.98;1.73;18/07/2017;9:07:37
62;11429;33.41;22.71;22.820;1526.98;1.76;18/07/2017;9:07:38
62;11430;33.41;22.72;22.819;1527.01;1.91;18/07/2017;9:07:39
62;11431;33.40;22.73;22.809;1527.02;2.03;18/07/2017;9:07:40
62;11432;33.40;22.72;22.810;1527.01;2.10;18/07/2017;9:07:41
62;11433;33.41;22.71;22.820;1527.00;2.10;18/07/2017;9:07:42
62;11434;33.43;22.72;22.833;1527.04;2.11;18/07/2017;9:07:43
62;11435;33.46;22.72;22.857;1527.06;2.10;18/07/2017;9:07:44
62;11436;33.46;22.72;22.857;1527.06;2.12;18/07/2017;9:07:45
62;11437;33.45;22.72;22.849;1527.06;2.15;18/07/2017;9:07:46
62;11438;33.45;22.72;22.850;1527.07;2.38;18/07/2017;9:07:47
62;11439;33.45;22.72;22.850;1527.07;2.43;18/07/2017;9:07:48
62;11440;33.45;22.72;22.850;1527.07;2.48;18/07/2017;9:07:49
62;11441;33.45;22.73;22.849;1527.08;2.60;18/07/2017;9:07:50
62;11442;33.45;22.73;22.849;1527.09;2.70;18/07/2017;9:07:51
62;11443;33.45;22.73;22.851;1527.08;2.80;18/07/2017;9:07:52
62;11444;33.45;22.73;22.852;1527.08;3.02;18/07/2017;9:07:53
62;11445;33.46;22.72;22.861;1527.09;3.12;18/07/2017;9:07:54
62;11446;33.46;22.72;22.861;1527.08;3.16;18/07/2017;9:07:55
62;11447;33.46;22.72;22.862;1527.08;3.36;18/07/2017;9:07:56
62;11448;33.46;22.71;22.864;1527.08;3.51;18/07/2017;9:07:57
62;11449;33.46;22.71;22.865;1527.08;3.56;18/07/2017;9:07:58
62;11450;33.47;22.72;22.871;1527.10;3.68;18/07/2017;9:07:59
62;11451;33.47;22.72;22.872;1527.11;3.81;18/07/2017;9:08:00
62;11452;33.48;22.72;22.880;1527.11;3.87;18/07/2017;9:08:01
62;11453;33.46;22.72;22.866;1527.08;3.86;18/07/2017;9:08:02
62;11454;33.47;22.72;22.874;1527.10;4.02;18/07/2017;9:08:03
62;11455;33.45;22.72;22.858;1527.09;4.08;18/07/2017;9:08:04
62;11456;33.47;22.72;22.874;1527.10;4.20;18/07/2017;9:08:05
62;11457;33.48;22.71;22.884;1527.10;4.39;18/07/2017;9:08:06
62;11458;33.47;22.72;22.874;1527.13;4.51;18/07/2017;9:08:07
62;11459;33.47;22.72;22.877;1527.11;4.66;18/07/2017;9:08:08
62;11460;33.48;22.71;22.886;1527.11;4.72;18/07/2017;9:08:09
62;11461;33.48;22.71;22.886;1527.11;4.80;18/07/2017;9:08:10
62;11462;33.47;22.71;22.879;1527.11;4.98;18/07/2017;9:08:11
62;11463;33.47;22.72;22.878;1527.12;5.12;18/07/2017;9:08:12
62;11464;33.47;22.71;22.880;1527.10;5.16;18/07/2017;9:08:13
62;11465;33.47;22.71;22.881;1527.10;5.19;18/07/2017;9:08:14
62;11466;33.48;22.70;22.890;1527.10;5.28;18/07/2017;9:08:15
62;11467;33.48;22.70;22.891;1527.11;5.41;18/07/2017;9:08:16
62;11468;33.47;22.71;22.882;1527.11;5.52;18/07/2017;9:08:17
62;11469;33.47;22.70;22.883;1527.09;5.46;18/07/2017;9:08:18
62;11470;33.48;22.70;22.891;1527.10;5.50;18/07/2017;9:08:19
62;11471;33.47;22.71;22.883;1527.10;5.59;18/07/2017;9:08:20
62;11472;33.48;22.71;22.891;1527.11;5.64;18/07/2017;9:08:21
62;11473;33.48;22.70;22.892;1527.10;5.50;18/07/2017;9:08:22
62;11474;33.47;22.70;22.885;1527.09;5.59;18/07/2017;9:08:23
62;11475;33.47;22.70;22.885;1527.08;5.61;18/07/2017;9:08:24
62;11476;33.47;22.70;22.885;1527.09;5.67;18/07/2017;9:08:25
62;11477;33.48;22.70;22.893;1527.11;5.73;18/07/2017;9:08:26
62;11478;33.48;22.70;22.893;1527.10;5.81;18/07/2017;9:08:27
62;11479;33.48;22.70;22.894;1527.09;5.77;18/07/2017;9:08:28
62;11480;33.48;22.70;22.895;1527.10;5.86;18/07/2017;9:08:29
62;11481;33.47;22.70;22.886;1527.09;5.84;18/07/2017;9:08:30
62;11482;33.47;22.70;22.886;1527.10;5.87;18/07/2017;9:08:31
62;11483;33.48;22.70;22.893;1527.10;5.85;18/07/2017;9:08:32
62;11484;33.48;22.70;22.894;1527.10;5.83;18/07/2017;9:08:33
62;11485;33.47;22.71;22.884;1527.11;5.83;18/07/2017;9:08:34
