2011,7,2,5458
2011,7,3,5367
2011,7,4,5276
2011,7,5,5243
2011,7,6,5221
2011,7,7,5283
2011,7,8,5273
2011,7,9,5230
2011,7,10,5229
2011,7,11,-32767
2011,7,12,-32767
2011,7,13,-32767
2011,7,14,-32767
2011,7,15,-32767
2011,7,16,-32767
2011,7,17,-32767
2011,7,18,-32767
2011,7,19,5354
2011,7,20,5337
2011,7,21,-32767
2011,7,22,5184
2011,7,23,5142
2011,7,24,5197
2011,7,25,5204
2011,7,26,5176
2011,7,27,5174
2011,7,28,-32767
2011,7,29,-32767
2011,7,30,-32767
2011,7,31,-32767
2011,8,1,-32767
2011,8,2,-32767
2011,8,3,-32767
2011,8,4,-32767
2011,8,5,-32767
2011,8,6,-32767
2011,8,7,-32767
2011,8,8,5239
2011,8,9,5259
2011,8,10,-32767
2011,8,11,5292
2011,8,12,-32767
2011,8,13,-32767
2011,8,14,-32767
2011,8,15,-32767
2011,8,16,-32767
2011,8,17,-32767
2011,8,18,-32767
2011,8,19,-32767
2011,8,20,-32767
2011,8,21,5201
2011,8,22,-32767
2011,8,23,-32767
2011,8,24,-32767
2011,8,25,-32767
2011,8,26,-32767
2011,8,27,-32767
2011,8,28,-32767
2011,8,29,-32767
2011,8,30,-32767
2011,8,31,-32767
2011,9,1,5355
2011,9,2,5331
2011,9,3,5257
2011,9,4,5219
2011,9,5,5176
2011,9,6,5173
2011,9,7,5186
2011,9,8,5229
2011,9,9,5279
2011,9,10,5269
2011,9,11,5279
2011,9,12,5327
2011,9,13,5361
2011,9,14,5336
2011,9,15,5327
2011,9,16,5275
2011,9,17,5253
2011,9,18,5308
2011,9,19,5290
2011,9,20,5274
2011,9,21,5242
2011,9,22,5199
2011,9,23,5226
2011,9,24,5221
2011,9,25,5246
2011,9,26,5329
2011,9,27,5421
