From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
28;5625;32.29;28.958;20.048;0.19;04/02/2019;14:03:25
28;5626;32.26;28.979;20.018;0.16;04/02/2019;14:03:26
28;5627;32.25;28.991;20.007;0.24;04/02/2019;14:03:27
28;5628;32.25;28.991;20.007;0.26;04/02/2019;14:03:28
28;5629;32.25;28.993;20.007;0.24;04/02/2019;14:03:29
28;5630;32.24;28.990;20.000;0.28;04/02/2019;14:03:30
28;5631;32.25;28.989;20.008;0.26;04/02/2019;14:03:31
28;5632;32.24;28.988;20.001;0.27;04/02/2019;14:03:32
28;5633;32.26;28.988;20.016;0.25;04/02/2019;14:03:33
28;5634;32.25;28.987;20.009;0.26;04/02/2019;14:03:34
28;5635;32.27;28.987;20.024;0.32;04/02/2019;14:03:35
28;5636;32.25;28.985;20.009;0.23;04/02/2019;14:03:36
28;5637;32.27;28.982;20.025;0.29;04/02/2019;14:03:37
28;5638;32.26;28.985;20.017;0.28;04/02/2019;14:03:38
28;5639;32.26;28.985;20.017;0.26;04/02/2019;14:03:39
28;5640;32.25;28.988;20.008;0.28;04/02/2019;14:03:40
28;5641;32.27;28.984;20.025;0.25;04/02/2019;14:03:41
28;5642;32.26;28.987;20.016;0.32;04/02/2019;14:03:42
28;5643;32.27;28.984;20.025;0.27;04/02/2019;14:03:43
28;5644;32.27;28.984;20.025;0.27;04/02/2019;14:03:44
28;5645;32.27;28.984;20.025;0.35;04/02/2019;14:03:45
28;5646;32.27;28.986;20.024;0.38;04/02/2019;14:03:46
28;5647;32.26;28.986;20.017;0.45;04/02/2019;14:03:47
28;5648;32.26;28.988;20.017;0.55;04/02/2019;14:03:48
28;5649;32.26;28.986;20.018;0.66;04/02/2019;14:03:49
28;5650;32.25;28.984;20.012;0.72;04/02/2019;14:03:50
28;5651;32.26;28.985;20.019;0.85;04/02/2019;14:03:51
28;5652;32.26;28.988;20.019;0.92;04/02/2019;14:03:52
28;5653;32.26;28.989;20.019;0.98;04/02/2019;14:03:53
28;5654;32.26;28.988;20.019;1.05;04/02/2019;14:03:54
28;5655;32.26;28.990;20.019;1.10;04/02/2019;14:03:55
28;5656;32.26;28.989;20.019;1.13;04/02/2019;14:03:56
28;5657;32.27;28.982;20.028;0.99;04/02/2019;14:03:57
28;5658;32.27;28.980;20.028;0.79;04/02/2019;14:03:58
28;5659;32.27;28.981;20.027;0.52;04/02/2019;14:03:59
28;5660;32.25;28.982;20.011;0.41;04/02/2019;14:04:00
28;5661;32.26;28.981;20.018;0.35;04/02/2019;14:04:01
28;5662;32.26;28.983;20.018;0.35;04/02/2019;14:04:02
28;5663;32.26;28.984;20.017;0.29;04/02/2019;14:04:03
28;5664;32.27;28.986;20.024;0.30;04/02/2019;14:04:04
28;5665;32.26;28.988;20.016;0.30;04/02/2019;14:04:05
28;5666;32.24;28.986;20.002;0.32;04/02/2019;14:04:06
28;5667;32.26;28.986;20.016;0.27;04/02/2019;14:04:07
28;5668;32.27;28.984;20.025;0.33;04/02/2019;14:04:08
28;5669;32.27;28.985;20.024;0.30;04/02/2019;14:04:09
28;5670;32.26;28.986;20.017;0.29;04/02/2019;14:04:10
28;5671;32.26;28.987;20.016;0.30;04/02/2019;14:04:11
28;5672;32.26;28.987;20.016;0.33;04/02/2019;14:04:12
28;5673;32.25;28.985;20.009;0.30;04/02/2019;14:04:13
28;5674;32.27;28.987;20.024;0.30;04/02/2019;14:04:14
28;5675;32.25;28.988;20.008;0.30;04/02/2019;14:04:15
28;5676;32.27;28.988;20.024;0.32;04/02/2019;14:04:16
28;5677;32.26;28.989;20.016;0.31;04/02/2019;14:04:17
28;5678;32.27;28.983;20.025;0.30;04/02/2019;14:04:18
28;5679;32.27;28.980;20.026;0.30;04/02/2019;14:04:19
28;5680;32.27;28.977;20.027;0.32;04/02/2019;14:04:20
28;5681;32.27;28.977;20.027;0.30;04/02/2019;14:04:21
28;5682;32.27;28.980;20.026;0.34;04/02/2019;14:04:22
28;5683;32.26;28.977;20.020;0.35;04/02/2019;14:04:23
28;5684;32.27;28.978;20.027;0.46;04/02/2019;14:04:24
28;5685;32.27;28.976;20.028;0.44;04/02/2019;14:04:25
28;5686;32.27;28.976;20.029;0.58;04/02/2019;14:04:26
28;5687;32.27;28.979;20.028;0.59;04/02/2019;14:04:27
28;5688;32.27;28.978;20.029;0.72;04/02/2019;14:04:28
28;5689;32.26;28.978;20.021;0.78;04/02/2019;14:04:29
28;5690;32.27;28.981;20.028;0.82;04/02/2019;14:04:30
28;5691;32.27;28.985;20.027;0.83;04/02/2019;14:04:31
28;5692;32.27;28.985;20.027;0.89;04/02/2019;14:04:32
28;5693;32.26;28.987;20.019;0.96;04/02/2019;14:04:33
28;5694;32.26;28.992;20.018;1.05;04/02/2019;14:04:34
28;5695;32.26;28.991;20.018;1.09;04/02/2019;14:04:35
28;5696;32.26;28.990;20.019;1.15;04/02/2019;14:04:36
28;5697;32.26;28.993;20.018;1.14;04/02/2019;14:04:37
28;5698;32.26;28.989;20.020;1.22;04/02/2019;14:04:38
28;5699;32.27;28.984;20.029;1.31;04/02/2019;14:04:39
28;5700;32.27;28.983;20.030;1.40;04/02/2019;14:04:40
28;5701;32.27;28.980;20.031;1.49;04/02/2019;14:04:41
28;5702;32.27;28.976;20.033;1.56;04/02/2019;14:04:42
28;5703;32.28;28.978;20.040;1.63;04/02/2019;14:04:43
28;5704;32.27;28.980;20.032;1.69;04/02/2019;14:04:44
28;5705;32.27;28.980;20.032;1.76;04/02/2019;14:04:45
28;5706;32.27;28.981;20.032;1.84;04/02/2019;14:04:46
28;5707;32.27;28.981;20.033;1.91;04/02/2019;14:04:47
28;5708;32.27;28.980;20.033;1.98;04/02/2019;14:04:48
28;5709;32.27;28.980;20.034;2.05;04/02/2019;14:04:49
28;5710;32.28;28.977;20.042;2.14;04/02/2019;14:04:50
28;5711;32.27;28.978;20.035;2.19;04/02/2019;14:04:51
28;5712;32.28;28.979;20.042;2.26;04/02/2019;14:04:52
28;5713;32.26;28.979;20.028;2.36;04/02/2019;14:04:53
28;5714;32.27;28.978;20.036;2.42;04/02/2019;14:04:54
28;5715;32.28;28.977;20.044;2.47;04/02/2019;14:04:55
28;5716;32.28;28.979;20.044;2.55;04/02/2019;14:04:56
28;5717;32.28;28.977;20.045;2.65;04/02/2019;14:04:57
28;5718;32.27;28.979;20.037;2.72;04/02/2019;14:04:58
28;5719;32.28;28.981;20.044;2.80;04/02/2019;14:04:59
28;5720;32.27;28.982;20.036;2.88;04/02/2019;14:05:00
28;5721;32.27;28.984;20.036;2.97;04/02/2019;14:05:01
28;5722;32.28;28.983;20.044;3.06;04/02/2019;14:05:02
28;5723;32.28;28.984;20.044;3.12;04/02/2019;14:05:03
28;5724;32.28;28.984;20.045;3.21;04/02/2019;14:05:04
28;5725;32.27;28.983;20.038;3.31;04/02/2019;14:05:05
28;5726;32.28;28.976;20.048;3.38;04/02/2019;14:05:06
28;5727;32.29;28.976;20.056;3.45;04/02/2019;14:05:07
28;5728;32.28;28.976;20.049;3.53;04/02/2019;14:05:08
28;5729;32.29;28.974;20.057;3.64;04/02/2019;14:05:09
28;5730;32.28;28.974;20.050;3.70;04/02/2019;14:05:10
28;5731;32.29;28.973;20.058;3.77;04/02/2019;14:05:11
28;5732;32.29;28.975;20.058;3.85;04/02/2019;14:05:12
28;5733;32.29;28.976;20.058;3.94;04/02/2019;14:05:13
28;5734;32.28;28.976;20.051;3.99;04/02/2019;14:05:14
28;5735;32.28;28.976;20.051;4.05;04/02/2019;14:05:15
28;5736;32.29;28.975;20.059;4.12;04/02/2019;14:05:16
28;5737;32.29;28.975;20.059;4.17;04/02/2019;14:05:17
28;5738;32.29;28.975;20.060;4.24;04/02/2019;14:05:18
28;5739;32.29;28.973;20.061;4.33;04/02/2019;14:05:19
28;5740;32.30;28.974;20.068;4.39;04/02/2019;14:05:20
28;5741;32.30;28.974;20.068;4.45;04/02/2019;14:05:21
28;5742;32.29;28.972;20.062;4.52;04/02/2019;14:05:22
28;5743;32.29;28.971;20.062;4.58;04/02/2019;14:05:23
28;5744;32.30;28.972;20.070;4.65;04/02/2019;14:05:24
28;5745;32.30;28.972;20.070;4.70;04/02/2019;14:05:25
28;5746;32.31;28.972;20.078;4.78;04/02/2019;14:05:26
28;5747;32.30;28.970;20.071;4.86;04/02/2019;14:05:27
28;5748;32.30;28.971;20.072;4.96;04/02/2019;14:05:28
28;5749;32.30;28.971;20.072;5.00;04/02/2019;14:05:29
28;5750;32.31;28.971;20.080;5.08;04/02/2019;14:05:30
28;5751;32.30;28.969;20.073;5.19;04/02/2019;14:05:31
28;5752;32.30;28.970;20.073;5.26;04/02/2019;14:05:32
28;5753;32.30;28.968;20.074;5.33;04/02/2019;14:05:33
28;5754;32.30;28.969;20.074;5.38;04/02/2019;14:05:34
28;5755;32.31;28.972;20.081;5.51;04/02/2019;14:05:35
