From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
15;2991;30.97;29.149;18.995;0.12;04/02/2019;8:30:15
15;2992;30.96;29.179;18.978;0.11;04/02/2019;8:30:16
15;2993;30.98;29.198;18.987;0.19;04/02/2019;8:30:17
15;2994;30.97;29.184;18.985;0.38;04/02/2019;8:30:18
15;2995;30.97;29.199;18.980;0.39;04/02/2019;8:30:19
15;2996;30.95;29.224;18.957;0.41;04/02/2019;8:30:20
15;2997;30.97;29.205;18.978;0.41;04/02/2019;8:30:21
15;2998;30.96;29.199;18.973;0.43;04/02/2019;8:30:22
15;2999;30.97;29.189;18.983;0.44;04/02/2019;8:30:23
15;3000;30.97;29.170;18.990;0.44;04/02/2019;8:30:24
15;3001;30.96;29.174;18.981;0.44;04/02/2019;8:30:25
15;3002;30.97;29.158;18.994;0.45;04/02/2019;8:30:26
15;3003;30.97;29.151;18.996;0.45;04/02/2019;8:30:27
15;3004;30.97;29.150;18.996;0.44;04/02/2019;8:30:28
15;3005;30.96;29.140;18.992;0.46;04/02/2019;8:30:29
15;3006;30.96;29.173;18.981;0.43;04/02/2019;8:30:30
15;3007;30.94;29.219;18.951;0.47;04/02/2019;8:30:31
15;3008;30.97;29.221;18.973;0.41;04/02/2019;8:30:32
15;3009;30.97;29.230;18.970;0.45;04/02/2019;8:30:33
15;3010;30.96;29.255;18.954;0.40;04/02/2019;8:30:34
15;3011;30.93;29.217;18.944;0.44;04/02/2019;8:30:35
15;3012;30.93;29.213;18.945;0.42;04/02/2019;8:30:36
15;3013;30.96;29.205;18.971;0.41;04/02/2019;8:30:37
15;3014;30.98;29.247;18.972;0.40;04/02/2019;8:30:38
15;3015;30.95;29.248;18.949;0.41;04/02/2019;8:30:39
15;3016;30.95;29.209;18.962;0.40;04/02/2019;8:30:40
15;3017;30.95;29.172;18.974;0.43;04/02/2019;8:30:41
15;3018;30.96;29.125;18.997;0.43;04/02/2019;8:30:42
15;3019;30.96;29.107;19.003;0.42;04/02/2019;8:30:43
15;3020;30.97;29.126;19.004;0.45;04/02/2019;8:30:44
15;3021;30.97;29.131;19.003;0.44;04/02/2019;8:30:45
15;3022;30.98;29.119;19.014;0.46;04/02/2019;8:30:46
15;3023;30.96;29.170;18.982;0.43;04/02/2019;8:30:47
15;3024;30.96;29.161;18.985;0.45;04/02/2019;8:30:48
15;3025;30.95;29.178;18.972;0.42;04/02/2019;8:30:49
15;3026;30.95;29.130;18.988;0.44;04/02/2019;8:30:50
15;3027;30.96;29.102;19.005;0.43;04/02/2019;8:30:51
15;3028;30.96;29.076;19.013;0.44;04/02/2019;8:30:52
15;3029;30.96;29.083;19.011;0.44;04/02/2019;8:30:53
15;3030;30.95;29.149;18.982;0.44;04/02/2019;8:30:54
15;3031;30.94;29.190;18.961;0.43;04/02/2019;8:30:55
15;3032;30.95;29.235;18.953;0.44;04/02/2019;8:30:56
15;3033;30.96;29.252;18.955;0.41;04/02/2019;8:30:57
15;3034;30.95;29.225;18.957;0.44;04/02/2019;8:30:58
15;3035;30.95;29.219;18.958;0.41;04/02/2019;8:30:59
15;3036;30.94;29.171;18.967;0.42;04/02/2019;8:31:00
15;3037;30.96;29.118;18.999;0.42;04/02/2019;8:31:01
15;3038;30.96;29.092;19.008;0.40;04/02/2019;8:31:02
15;3039;30.96;29.106;19.003;0.42;04/02/2019;8:31:03
15;3040;30.98;29.103;19.019;0.40;04/02/2019;8:31:04
15;3041;30.98;29.085;19.025;0.41;04/02/2019;8:31:05
15;3042;30.97;29.126;19.004;0.40;04/02/2019;8:31:06
15;3043;30.96;29.129;18.996;0.40;04/02/2019;8:31:07
15;3044;30.97;29.156;18.994;0.39;04/02/2019;8:31:08
15;3045;30.96;29.194;18.974;0.40;04/02/2019;8:31:09
15;3046;30.94;29.178;18.964;0.41;04/02/2019;8:31:10
