From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
31;6385;31.17;29.133;19.151;0.20;04/02/2019;15:32:01
31;6386;31.18;29.132;19.158;0.16;04/02/2019;15:32:02
31;6387;31.19;29.128;19.167;0.19;04/02/2019;15:32:03
31;6388;31.19;29.127;19.168;0.18;04/02/2019;15:32:04
31;6389;31.19;29.130;19.167;0.19;04/02/2019;15:32:05
31;6390;31.18;29.136;19.157;0.18;04/02/2019;15:32:06
31;6391;31.17;29.153;19.144;0.18;04/02/2019;15:32:07
31;6392;31.17;29.159;19.142;0.18;04/02/2019;15:32:08
31;6393;31.17;29.158;19.142;0.18;04/02/2019;15:32:09
31;6394;31.18;29.137;19.157;0.19;04/02/2019;15:32:10
31;6395;31.17;29.148;19.146;0.18;04/02/2019;15:32:11
31;6396;31.17;29.162;19.141;0.17;04/02/2019;15:32:12
31;6397;31.17;29.161;19.141;0.20;04/02/2019;15:32:13
31;6398;31.15;29.173;19.122;0.17;04/02/2019;15:32:14
31;6399;31.16;29.174;19.130;0.19;04/02/2019;15:32:15
31;6400;31.15;29.173;19.122;0.18;04/02/2019;15:32:16
31;6401;31.14;29.184;19.111;0.16;04/02/2019;15:32:17
31;6402;31.16;29.183;19.127;0.19;04/02/2019;15:32:18
31;6403;31.16;29.177;19.129;0.19;04/02/2019;15:32:19
31;6404;31.16;29.168;19.132;0.17;04/02/2019;15:32:20
31;6405;31.17;29.163;19.141;0.19;04/02/2019;15:32:21
31;6406;31.18;29.156;19.151;0.18;04/02/2019;15:32:22
31;6407;31.18;29.151;19.152;0.19;04/02/2019;15:32:23
31;6408;31.21;29.132;19.181;0.16;04/02/2019;15:32:24
31;6409;31.15;29.127;19.138;0.21;04/02/2019;15:32:25
31;6410;31.18;29.122;19.162;0.15;04/02/2019;15:32:26
31;6411;31.19;29.124;19.169;0.20;04/02/2019;15:32:27
31;6412;31.20;29.119;19.178;0.17;04/02/2019;15:32:28
31;6413;31.20;29.116;19.179;0.20;04/02/2019;15:32:29
31;6414;31.20;29.112;19.180;0.16;04/02/2019;15:32:30
31;6415;31.22;29.109;19.196;0.20;04/02/2019;15:32:31
31;6416;31.21;29.107;19.189;0.17;04/02/2019;15:32:32
31;6417;31.15;29.111;19.143;0.20;04/02/2019;15:32:33
31;6418;31.14;29.116;19.134;0.17;04/02/2019;15:32:34
31;6419;31.14;29.124;19.131;0.19;04/02/2019;15:32:35
31;6420;31.16;29.137;19.142;0.20;04/02/2019;15:32:36
31;6421;31.13;29.159;19.112;0.15;04/02/2019;15:32:37
31;6422;31.15;29.146;19.132;0.22;04/02/2019;15:32:38
31;6423;31.13;29.164;19.110;0.16;04/02/2019;15:32:39
31;6424;31.16;29.150;19.138;0.21;04/02/2019;15:32:40
31;6425;31.14;29.154;19.121;0.16;04/02/2019;15:32:41
31;6426;31.13;29.163;19.111;0.19;04/02/2019;15:32:42
31;6427;31.13;29.172;19.108;0.18;04/02/2019;15:32:43
31;6428;31.12;29.181;19.097;0.20;04/02/2019;15:32:44
31;6429;30.91;29.168;18.944;0.17;04/02/2019;15:32:45
31;6430;31.13;29.173;19.108;0.20;04/02/2019;15:32:46
31;6431;31.12;29.186;19.096;0.16;04/02/2019;15:32:47
31;6432;31.12;29.191;19.094;0.20;04/02/2019;15:32:48
31;6433;31.10;29.205;19.074;0.16;04/02/2019;15:32:49
31;6434;31.11;29.214;19.079;0.21;04/02/2019;15:32:50
31;6435;31.10;29.200;19.076;0.19;04/02/2019;15:32:51
31;6436;31.10;29.208;19.073;0.19;04/02/2019;15:32:52
31;6437;31.10;29.216;19.071;0.18;04/02/2019;15:32:53
31;6438;31.11;29.208;19.081;0.18;04/02/2019;15:32:54
