From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
20;3969;31.12;28.910;19.187;0.15;04/02/2019;10:31:15
20;3970;31.11;28.905;19.181;0.16;04/02/2019;10:31:16
20;3971;31.11;28.906;19.180;0.16;04/02/2019;10:31:17
20;3972;31.11;28.908;19.180;0.16;04/02/2019;10:31:18
20;3973;31.10;28.921;19.168;0.15;04/02/2019;10:31:19
20;3974;31.10;28.921;19.168;0.17;04/02/2019;10:31:20
20;3975;31.10;28.921;19.168;0.17;04/02/2019;10:31:21
20;3976;31.11;28.920;19.176;0.16;04/02/2019;10:31:22
20;3977;31.11;28.918;19.177;0.17;04/02/2019;10:31:23
20;3978;31.11;28.919;19.176;0.16;04/02/2019;10:31:24
20;3979;31.12;28.912;19.186;0.15;04/02/2019;10:31:25
20;3980;31.11;28.918;19.177;0.16;04/02/2019;10:31:26
20;3981;31.12;28.908;19.187;0.16;04/02/2019;10:31:27
20;3982;31.12;28.907;19.188;0.19;04/02/2019;10:31:28
20;3983;31.13;28.896;19.199;0.24;04/02/2019;10:31:29
20;3984;31.13;28.898;19.199;0.31;04/02/2019;10:31:30
20;3985;31.13;28.893;19.200;0.32;04/02/2019;10:31:31
20;3986;31.13;28.898;19.199;0.38;04/02/2019;10:31:32
20;3987;31.13;28.901;19.198;0.47;04/02/2019;10:31:33
20;3988;31.13;28.895;19.200;0.47;04/02/2019;10:31:34
20;3989;31.14;28.895;19.208;0.47;04/02/2019;10:31:35
20;3990;31.12;28.894;19.193;0.48;04/02/2019;10:31:36
20;3991;31.13;28.895;19.201;0.50;04/02/2019;10:31:37
20;3992;31.13;28.895;19.201;0.59;04/02/2019;10:31:38
20;3993;31.12;28.895;19.194;0.69;04/02/2019;10:31:39
20;3994;31.14;28.894;19.210;0.85;04/02/2019;10:31:40
20;3995;31.14;28.892;19.211;0.91;04/02/2019;10:31:41
20;3996;31.14;28.884;19.214;1.06;04/02/2019;10:31:42
20;3997;31.15;28.877;19.224;1.17;04/02/2019;10:31:43
20;3998;31.15;28.876;19.225;1.25;04/02/2019;10:31:44
20;3999;31.14;28.878;19.217;1.31;04/02/2019;10:31:45
20;4000;31.15;28.876;19.226;1.37;04/02/2019;10:31:46
20;4001;31.16;28.875;19.234;1.47;04/02/2019;10:31:47
20;4002;31.17;28.871;19.243;1.55;04/02/2019;10:31:48
20;4003;31.16;28.875;19.234;1.64;04/02/2019;10:31:49
20;4004;31.16;28.875;19.235;1.68;04/02/2019;10:31:50
20;4005;31.16;28.870;19.236;1.72;04/02/2019;10:31:51
20;4006;31.16;28.871;19.236;1.80;04/02/2019;10:31:52
20;4007;31.17;28.870;19.245;1.85;04/02/2019;10:31:53
20;4008;31.17;28.869;19.245;1.93;04/02/2019;10:31:54
20;4009;31.16;28.861;19.241;2.03;04/02/2019;10:31:55
20;4010;31.16;28.865;19.240;2.07;04/02/2019;10:31:56
20;4011;31.15;28.867;19.232;2.13;04/02/2019;10:31:57
20;4012;31.17;28.862;19.249;2.22;04/02/2019;10:31:58
20;4013;31.17;28.859;19.250;2.29;04/02/2019;10:31:59
20;4014;31.18;28.859;19.258;2.40;04/02/2019;10:32:00
20;4015;31.19;28.850;19.268;2.40;04/02/2019;10:32:01
20;4016;31.19;28.853;19.268;2.47;04/02/2019;10:32:02
20;4017;31.19;28.853;19.268;2.57;04/02/2019;10:32:03
20;4018;31.19;28.857;19.267;2.67;04/02/2019;10:32:04
20;4019;31.20;28.852;19.277;2.75;04/02/2019;10:32:05
20;4020;31.21;28.845;19.287;2.85;04/02/2019;10:32:06
20;4021;31.21;28.839;19.289;2.95;04/02/2019;10:32:07
20;4022;31.22;28.837;19.298;3.06;04/02/2019;10:32:08
20;4023;31.22;28.836;19.299;3.16;04/02/2019;10:32:09
20;4024;31.22;28.839;19.298;3.22;04/02/2019;10:32:10
20;4025;31.20;28.845;19.281;3.22;04/02/2019;10:32:11
20;4026;31.20;28.843;19.282;3.27;04/02/2019;10:32:12
20;4027;31.22;28.840;19.298;3.34;04/02/2019;10:32:13
20;4028;31.20;28.838;19.284;3.36;04/02/2019;10:32:14
20;4029;31.21;28.838;19.292;3.42;04/02/2019;10:32:15
20;4030;31.21;28.836;19.293;3.54;04/02/2019;10:32:16
20;4031;31.20;28.838;19.285;3.69;04/02/2019;10:32:17
20;4032;31.21;28.833;19.295;3.72;04/02/2019;10:32:18
20;4033;31.21;28.834;19.295;3.82;04/02/2019;10:32:19
20;4034;31.21;28.832;19.296;3.86;04/02/2019;10:32:20
20;4035;31.21;28.831;19.296;3.88;04/02/2019;10:32:21
20;4036;31.21;28.834;19.295;3.92;04/02/2019;10:32:22
20;4037;31.21;28.835;19.295;3.97;04/02/2019;10:32:23
20;4038;31.21;28.835;19.295;4.01;04/02/2019;10:32:24
20;4039;31.22;28.829;19.305;4.05;04/02/2019;10:32:25
20;4040;31.22;28.827;19.306;4.05;04/02/2019;10:32:26
20;4041;31.23;28.824;19.314;4.05;04/02/2019;10:32:27
