From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
32;6609;32.08;29.325;19.769;0.19;04/02/2019;15:58:35
32;6610;32.04;29.378;19.721;0.20;04/02/2019;15:58:36
32;6611;32.01;29.414;19.687;0.24;04/02/2019;15:58:37
32;6612;32.02;29.435;19.687;0.21;04/02/2019;15:58:38
32;6613;32.02;29.431;19.688;0.21;04/02/2019;15:58:39
32;6614;32.02;29.428;19.690;0.22;04/02/2019;15:58:40
32;6615;32.02;29.426;19.690;0.23;04/02/2019;15:58:41
32;6616;32.04;29.429;19.704;0.20;04/02/2019;15:58:42
32;6617;32.04;29.433;19.703;0.23;04/02/2019;15:58:43
32;6618;32.04;29.430;19.704;0.20;04/02/2019;15:58:44
32;6619;32.05;29.429;19.712;0.23;04/02/2019;15:58:45
32;6620;32.04;29.451;19.697;0.20;04/02/2019;15:58:46
32;6621;32.04;29.475;19.689;0.22;04/02/2019;15:58:47
32;6622;32.03;29.478;19.680;0.22;04/02/2019;15:58:48
32;6623;32.03;29.479;19.680;0.22;04/02/2019;15:58:49
32;6624;32.02;29.478;19.673;0.21;04/02/2019;15:58:50
32;6625;32.03;29.473;19.682;0.23;04/02/2019;15:58:51
32;6626;32.07;29.440;19.723;0.21;04/02/2019;15:58:52
32;6627;32.07;29.429;19.727;0.21;04/02/2019;15:58:53
32;6628;32.09;29.409;19.748;0.22;04/02/2019;15:58:54
32;6629;32.09;29.405;19.750;0.21;04/02/2019;15:58:55
32;6630;32.15;29.345;19.815;0.21;04/02/2019;15:58:56
32;6631;32.16;29.309;19.834;0.21;04/02/2019;15:58:57
32;6632;32.16;29.322;19.830;0.22;04/02/2019;15:58:58
32;6633;32.16;29.296;19.838;0.21;04/02/2019;15:58:59
32;6634;32.17;29.289;19.848;0.22;04/02/2019;15:59:00
32;6635;32.15;29.347;19.814;0.21;04/02/2019;15:59:01
32;6636;32.08;29.426;19.735;0.23;04/02/2019;15:59:02
32;6637;32.05;29.450;19.705;0.21;04/02/2019;15:59:03
