From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
17;3564;30.82;29.238;18.853;0.10;04/02/2019;9:34:21
17;3565;30.79;29.195;18.845;0.10;04/02/2019;9:34:22
17;3566;30.82;29.195;18.868;0.13;04/02/2019;9:34:23
17;3567;30.77;29.181;18.835;0.08;04/02/2019;9:34:24
17;3568;30.85;29.155;18.904;0.23;04/02/2019;9:34:25
17;3569;30.83;29.125;18.899;0.37;04/02/2019;9:34:26
17;3570;30.84;29.113;18.912;0.63;04/02/2019;9:34:27
17;3571;30.83;29.106;18.906;0.54;04/02/2019;9:34:28
17;3572;30.84;29.118;18.910;0.60;04/02/2019;9:34:29
17;3573;30.84;29.100;18.916;0.66;04/02/2019;9:34:30
17;3574;30.84;29.092;18.920;0.77;04/02/2019;9:34:31
17;3575;30.84;29.092;18.920;0.95;04/02/2019;9:34:32
17;3576;30.85;29.086;18.930;1.04;04/02/2019;9:34:33
17;3577;30.84;29.087;18.922;1.06;04/02/2019;9:34:34
17;3578;30.84;29.085;18.923;1.05;04/02/2019;9:34:35
17;3579;30.84;29.085;18.923;1.07;04/02/2019;9:34:36
17;3580;30.85;29.087;18.930;1.13;04/02/2019;9:34:37
17;3581;30.85;29.088;18.931;1.34;04/02/2019;9:34:38
17;3582;30.83;29.094;18.914;1.44;04/02/2019;9:34:39
17;3583;30.84;29.095;18.921;1.42;04/02/2019;9:34:40
17;3584;30.82;29.098;18.906;1.46;04/02/2019;9:34:41
17;3585;30.82;29.089;18.909;1.47;04/02/2019;9:34:42
17;3586;30.83;29.084;18.918;1.55;04/02/2019;9:34:43
17;3587;30.84;29.085;18.926;1.73;04/02/2019;9:34:44
17;3588;30.84;29.084;18.927;1.85;04/02/2019;9:34:45
17;3589;30.83;29.082;18.920;1.84;04/02/2019;9:34:46
17;3590;30.83;29.078;18.921;1.87;04/02/2019;9:34:47
17;3591;30.84;29.075;18.930;1.89;04/02/2019;9:34:48
17;3592;30.84;29.070;18.932;1.94;04/02/2019;9:34:49
17;3593;30.84;29.067;18.934;2.15;04/02/2019;9:34:50
17;3594;30.84;29.060;18.936;2.25;04/02/2019;9:34:51
17;3595;30.83;29.055;18.931;2.23;04/02/2019;9:34:52
17;3596;30.84;29.054;18.938;2.25;04/02/2019;9:34:53
17;3597;30.84;29.052;18.939;2.27;04/02/2019;9:34:54
17;3598;30.84;29.051;18.940;2.41;04/02/2019;9:34:55
17;3599;30.84;29.054;18.940;2.55;04/02/2019;9:34:56
17;3600;30.85;29.047;18.950;2.56;04/02/2019;9:34:57
17;3601;30.85;29.047;18.950;2.59;04/02/2019;9:34:58
17;3602;30.84;29.047;18.942;2.61;04/02/2019;9:34:59
17;3603;30.85;29.045;18.951;2.69;04/02/2019;9:35:00
17;3604;30.84;29.045;18.944;2.87;04/02/2019;9:35:01
17;3605;30.84;29.036;18.947;2.96;04/02/2019;9:35:02
17;3606;30.83;29.031;18.942;2.97;04/02/2019;9:35:03
17;3607;30.84;29.035;18.948;3.02;04/02/2019;9:35:04
17;3608;30.84;29.034;18.949;3.15;04/02/2019;9:35:05
17;3609;30.83;29.034;18.942;3.32;04/02/2019;9:35:06
17;3610;30.83;29.019;18.947;3.32;04/02/2019;9:35:07
17;3611;30.85;28.986;18.973;3.33;04/02/2019;9:35:08
17;3612;30.86;28.999;18.976;3.37;04/02/2019;9:35:09
17;3613;30.82;29.006;18.944;3.43;04/02/2019;9:35:10
17;3614;30.84;28.996;18.963;3.44;04/02/2019;9:35:11
17;3615;30.84;28.978;18.969;3.43;04/02/2019;9:35:12
17;3616;30.86;28.987;18.981;3.43;04/02/2019;9:35:13
17;3617;30.83;28.987;18.958;3.42;04/02/2019;9:35:14
17;3618;30.84;28.953;18.976;3.34;04/02/2019;9:35:15
17;3619;30.87;28.985;18.988;3.21;04/02/2019;9:35:16
17;3620;30.85;29.008;18.966;3.41;04/02/2019;9:35:17
17;3621;30.85;29.015;18.964;3.46;04/02/2019;9:35:18
17;3622;30.85;29.022;18.962;3.47;04/02/2019;9:35:19
17;3623;30.84;29.015;18.956;3.44;04/02/2019;9:35:20
17;3624;30.85;28.999;18.969;3.43;04/02/2019;9:35:21
17;3625;30.86;29.011;18.973;3.41;04/02/2019;9:35:22
17;3626;30.86;29.035;18.965;3.42;04/02/2019;9:35:23
17;3627;30.86;29.041;18.963;3.48;04/02/2019;9:35:24
17;3628;30.85;29.041;18.956;3.52;04/02/2019;9:35:25
17;3629;30.84;29.043;18.947;3.40;04/02/2019;9:35:26
17;3630;30.85;29.056;18.949;3.20;04/02/2019;9:35:27
17;3631;30.85;29.060;18.948;3.19;04/02/2019;9:35:28
