From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
12;2304;31.37;28.609;19.473;0.21;04/02/2019;7:01:55
12;2305;31.37;28.610;19.473;0.24;04/02/2019;7:01:56
12;2306;31.38;28.609;19.480;0.19;04/02/2019;7:01:57
12;2307;31.38;28.608;19.481;0.23;04/02/2019;7:01:58
12;2308;31.37;28.610;19.473;0.22;04/02/2019;7:01:59
12;2309;31.37;28.608;19.473;0.24;04/02/2019;7:02:00
12;2310;31.35;28.606;19.459;0.24;04/02/2019;7:02:01
12;2311;31.32;28.608;19.436;0.20;04/02/2019;7:02:02
12;2312;31.33;28.605;19.444;0.22;04/02/2019;7:02:03
12;2313;31.35;28.605;19.459;0.18;04/02/2019;7:02:04
12;2314;31.35;28.607;19.459;0.21;04/02/2019;7:02:05
12;2315;31.34;28.605;19.452;0.22;04/02/2019;7:02:06
12;2316;31.32;28.607;19.436;0.26;04/02/2019;7:02:07
12;2317;31.39;28.605;19.489;0.24;04/02/2019;7:02:08
12;2318;31.37;28.608;19.473;0.22;04/02/2019;7:02:09
12;2319;31.37;28.607;19.474;0.22;04/02/2019;7:02:10
12;2320;31.38;28.608;19.481;0.20;04/02/2019;7:02:11
12;2321;31.38;28.607;19.481;0.21;04/02/2019;7:02:12
12;2322;31.40;28.607;19.496;0.22;04/02/2019;7:02:13
12;2323;31.37;28.608;19.473;0.24;04/02/2019;7:02:14
12;2324;31.43;28.608;19.518;0.23;04/02/2019;7:02:15
12;2325;31.41;28.609;19.503;0.26;04/02/2019;7:02:16
12;2326;31.41;28.610;19.503;0.35;04/02/2019;7:02:17
12;2327;31.43;28.611;19.518;0.29;04/02/2019;7:02:18
12;2328;31.41;28.613;19.502;0.37;04/02/2019;7:02:19
12;2329;31.41;28.610;19.504;0.46;04/02/2019;7:02:20
12;2330;31.48;28.605;19.558;0.57;04/02/2019;7:02:21
12;2331;31.44;28.602;19.530;0.67;04/02/2019;7:02:22
12;2332;31.43;28.603;19.522;0.76;04/02/2019;7:02:23
12;2333;31.42;28.604;19.515;0.82;04/02/2019;7:02:24
12;2334;31.44;28.602;19.531;0.88;04/02/2019;7:02:25
12;2335;31.44;28.602;19.531;0.98;04/02/2019;7:02:26
12;2336;31.39;28.606;19.492;1.03;04/02/2019;7:02:27
12;2337;31.42;28.603;19.516;1.11;04/02/2019;7:02:28
12;2338;31.41;28.604;19.509;1.22;04/02/2019;7:02:29
12;2339;31.40;28.605;19.501;1.28;04/02/2019;7:02:30
12;2340;31.43;28.604;19.525;1.36;04/02/2019;7:02:31
12;2341;31.41;28.602;19.511;1.45;04/02/2019;7:02:32
12;2342;31.44;28.604;19.533;1.53;04/02/2019;7:02:33
12;2343;31.44;28.601;19.534;1.61;04/02/2019;7:02:34
12;2344;31.45;28.599;19.542;1.65;04/02/2019;7:02:35
12;2345;31.42;28.602;19.519;1.74;04/02/2019;7:02:36
12;2346;31.42;28.603;19.519;1.82;04/02/2019;7:02:37
12;2347;31.45;28.600;19.543;1.90;04/02/2019;7:02:38
12;2348;31.48;28.596;19.567;1.98;04/02/2019;7:02:39
12;2349;31.48;28.596;19.568;2.05;04/02/2019;7:02:40
12;2350;31.50;28.595;19.583;2.05;04/02/2019;7:02:41
12;2351;31.49;28.593;19.576;2.14;04/02/2019;7:02:42
12;2352;31.46;28.597;19.553;2.23;04/02/2019;7:02:43
12;2353;31.44;28.600;19.537;2.31;04/02/2019;7:02:44
12;2354;31.44;28.602;19.537;2.35;04/02/2019;7:02:45
12;2355;31.44;28.602;19.537;2.45;04/02/2019;7:02:46
12;2356;31.49;28.598;19.576;2.52;04/02/2019;7:02:47
12;2357;31.50;28.593;19.586;2.56;04/02/2019;7:02:48
12;2358;31.51;28.590;19.595;2.62;04/02/2019;7:02:49
12;2359;31.52;28.590;19.602;2.71;04/02/2019;7:02:50
12;2360;31.53;28.588;19.611;2.79;04/02/2019;7:02:51
12;2361;31.53;28.589;19.611;2.87;04/02/2019;7:02:52
12;2362;31.50;28.593;19.587;2.92;04/02/2019;7:02:53
12;2363;31.43;28.597;19.534;2.98;04/02/2019;7:02:54
12;2364;31.45;28.596;19.549;3.02;04/02/2019;7:02:55
12;2365;31.52;28.592;19.604;3.13;04/02/2019;7:02:56
12;2366;31.52;28.592;19.604;3.14;04/02/2019;7:02:57
12;2367;31.52;28.592;19.604;3.20;04/02/2019;7:02:58
12;2368;31.52;28.592;19.604;3.31;04/02/2019;7:02:59
12;2369;31.52;28.591;19.605;3.42;04/02/2019;7:03:00
12;2370;31.54;28.587;19.622;3.53;04/02/2019;7:03:01
12;2371;31.54;28.586;19.623;3.61;04/02/2019;7:03:02
12;2372;31.52;28.586;19.608;3.72;04/02/2019;7:03:03
12;2373;31.53;28.589;19.615;3.86;04/02/2019;7:03:04
12;2374;31.52;28.591;19.608;4.05;04/02/2019;7:03:05
12;2375;31.53;28.588;19.617;4.21;04/02/2019;7:03:06
12;2376;31.55;28.586;19.633;4.23;04/02/2019;7:03:07
12;2377;31.55;28.585;19.633;4.24;04/02/2019;7:03:08
12;2378;31.55;28.584;19.634;4.27;04/02/2019;7:03:09
12;2379;31.56;28.582;19.642;4.31;04/02/2019;7:03:10
12;2380;31.56;28.581;19.642;4.31;04/02/2019;7:03:11
12;2381;31.55;28.583;19.634;4.34;04/02/2019;7:03:12
12;2382;31.56;28.579;19.643;4.38;04/02/2019;7:03:13
12;2383;31.56;28.581;19.643;4.40;04/02/2019;7:03:14
12;2384;31.55;28.585;19.634;4.41;04/02/2019;7:03:15
12;2385;31.55;28.586;19.633;4.40;04/02/2019;7:03:16
12;2386;31.54;28.586;19.626;4.41;04/02/2019;7:03:17
12;2387;31.56;28.583;19.642;4.42;04/02/2019;7:03:18
12;2388;31.55;28.584;19.634;4.42;04/02/2019;7:03:19
12;2389;31.55;28.584;19.634;4.38;04/02/2019;7:03:20
12;2390;31.55;28.584;19.634;4.30;04/02/2019;7:03:21
12;2391;31.53;28.587;19.617;4.24;04/02/2019;7:03:22
12;2392;31.54;28.591;19.624;4.23;04/02/2019;7:03:23
12;2393;31.51;28.596;19.599;4.20;04/02/2019;7:03:24
12;2394;31.51;28.597;19.599;4.14;04/02/2019;7:03:25
12;2395;31.53;28.592;19.615;4.08;04/02/2019;7:03:26
12;2396;31.54;28.590;19.623;4.03;04/02/2019;7:03:27
12;2397;31.53;28.587;19.616;3.94;04/02/2019;7:03:28
12;2398;31.55;28.584;19.632;3.83;04/02/2019;7:03:29
12;2399;31.54;28.584;19.624;3.70;04/02/2019;7:03:30
12;2400;31.54;28.584;19.623;3.67;04/02/2019;7:03:31
12;2401;31.51;28.591;19.598;3.56;04/02/2019;7:03:32
12;2402;31.51;28.594;19.597;3.44;04/02/2019;7:03:33
12;2403;31.51;28.592;19.597;3.28;04/02/2019;7:03:34
12;2404;31.53;28.590;19.612;3.24;04/02/2019;7:03:35
12;2405;31.52;28.592;19.604;3.15;04/02/2019;7:03:36
12;2406;31.52;28.591;19.604;3.07;04/02/2019;7:03:37
12;2407;31.50;28.596;19.587;2.97;04/02/2019;7:03:38
12;2408;31.50;28.594;19.587;2.91;04/02/2019;7:03:39
12;2409;31.50;28.596;19.586;2.89;04/02/2019;7:03:40
12;2410;31.51;28.593;19.594;2.78;04/02/2019;7:03:41
12;2411;31.51;28.590;19.594;2.61;04/02/2019;7:03:42
12;2412;31.53;28.586;19.610;2.44;04/02/2019;7:03:43
12;2413;31.52;28.587;19.602;2.44;04/02/2019;7:03:44
12;2414;31.49;28.604;19.574;2.29;04/02/2019;7:03:45
12;2415;31.49;28.608;19.572;2.18;04/02/2019;7:03:46
12;2416;31.46;28.606;19.549;2.07;04/02/2019;7:03:47
12;2417;31.43;28.607;19.527;2.06;04/02/2019;7:03:48
12;2418;31.44;28.609;19.533;2.02;04/02/2019;7:03:49
12;2419;31.47;28.601;19.558;1.92;04/02/2019;7:03:50
12;2420;31.49;28.600;19.573;1.77;04/02/2019;7:03:51
12;2421;31.46;28.601;19.549;1.67;04/02/2019;7:03:52
12;2422;31.45;28.604;19.541;1.65;04/02/2019;7:03:53
12;2423;31.45;28.603;19.540;1.50;04/02/2019;7:03:54
12;2424;31.41;28.607;19.509;1.36;04/02/2019;7:03:55
12;2425;31.51;28.593;19.588;1.26;04/02/2019;7:03:56
12;2426;31.51;28.593;19.588;1.23;04/02/2019;7:03:57
12;2427;31.38;28.605;19.486;1.12;04/02/2019;7:03:58
12;2428;31.50;28.597;19.578;1.00;04/02/2019;7:03:59
12;2429;31.47;28.602;19.553;0.85;04/02/2019;7:04:00
12;2430;31.42;28.607;19.514;0.84;04/02/2019;7:04:01
12;2431;31.45;28.608;19.535;0.72;04/02/2019;7:04:02
12;2432;31.40;28.613;19.496;0.67;04/02/2019;7:04:03
12;2433;31.37;28.617;19.472;0.59;04/02/2019;7:04:04
12;2434;31.37;28.615;19.472;0.50;04/02/2019;7:04:05
12;2435;31.38;28.611;19.480;0.31;04/02/2019;7:04:06
12;2436;31.35;28.612;19.457;0.15;04/02/2019;7:04:07
12;2437;31.28;28.610;19.405;0.06;04/02/2019;7:04:08
12;2438;31.35;28.611;19.457;0.14;04/02/2019;7:04:09
