From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
11;589;31.67;28.417;19.761;0.20;04/02/2019;6:32:38
11;590;31.56;28.551;19.635;0.29;04/02/2019;6:32:39
11;591;31.57;28.583;19.631;0.20;04/02/2019;6:32:40
11;592;31.54;28.596;19.604;0.16;04/02/2019;6:32:41
11;593;31.57;28.599;19.626;0.18;04/02/2019;6:32:42
11;594;31.55;28.598;19.611;0.19;04/02/2019;6:32:43
11;595;31.57;28.599;19.626;0.19;04/02/2019;6:32:44
11;596;31.55;28.601;19.610;0.16;04/02/2019;6:32:45
11;597;31.57;28.598;19.626;0.20;04/02/2019;6:32:46
11;598;31.61;28.594;19.658;0.20;04/02/2019;6:32:47
11;599;31.60;28.595;19.650;0.20;04/02/2019;6:32:48
11;600;31.59;28.596;19.642;0.25;04/02/2019;6:32:49
11;601;31.59;28.597;19.642;0.20;04/02/2019;6:32:50
11;602;31.59;28.597;19.642;0.24;04/02/2019;6:32:51
11;603;31.60;28.596;19.650;0.21;04/02/2019;6:32:52
11;604;31.61;28.595;19.657;0.21;04/02/2019;6:32:53
11;605;31.62;28.595;19.665;0.24;04/02/2019;6:32:54
11;606;31.59;28.596;19.642;0.22;04/02/2019;6:32:55
11;607;31.58;28.599;19.634;0.21;04/02/2019;6:32:56
11;608;31.59;28.598;19.642;0.25;04/02/2019;6:32:57
11;609;31.58;28.600;19.633;0.22;04/02/2019;6:32:58
11;610;31.57;28.602;19.625;0.20;04/02/2019;6:32:59
11;611;31.58;28.601;19.633;0.13;04/02/2019;6:33:00
11;612;31.56;28.602;19.617;0.15;04/02/2019;6:33:01
11;613;31.57;28.601;19.626;0.22;04/02/2019;6:33:02
11;614;31.58;28.600;19.634;0.35;04/02/2019;6:33:03
11;615;31.57;28.601;19.626;0.35;04/02/2019;6:33:04
11;616;31.55;28.601;19.611;0.42;04/02/2019;6:33:05
11;617;31.54;28.600;19.605;0.61;04/02/2019;6:33:06
11;618;31.59;28.599;19.644;0.75;04/02/2019;6:33:07
11;619;31.65;28.595;19.690;0.88;04/02/2019;6:33:08
11;620;31.63;28.591;19.677;0.99;04/02/2019;6:33:09
11;621;31.67;28.589;19.708;1.07;04/02/2019;6:33:10
11;622;31.67;28.587;19.709;1.19;04/02/2019;6:33:11
11;623;31.67;28.590;19.709;1.28;04/02/2019;6:33:12
11;624;31.63;28.592;19.678;1.34;04/02/2019;6:33:13
11;625;31.68;28.586;19.718;1.40;04/02/2019;6:33:14
11;626;31.65;28.588;19.695;1.54;04/02/2019;6:33:15
11;627;31.65;28.590;19.695;1.59;04/02/2019;6:33:16
11;628;31.67;28.586;19.712;1.64;04/02/2019;6:33:17
11;629;31.66;28.590;19.703;1.71;04/02/2019;6:33:18
11;630;31.65;28.588;19.697;1.80;04/02/2019;6:33:19
11;631;31.70;28.583;19.736;1.80;04/02/2019;6:33:20
11;632;31.67;28.584;19.714;1.97;04/02/2019;6:33:21
11;633;31.69;28.584;19.729;2.08;04/02/2019;6:33:22
11;634;31.71;28.582;19.745;2.17;04/02/2019;6:33:23
11;635;31.73;28.578;19.762;2.23;04/02/2019;6:33:24
11;636;31.74;28.573;19.772;2.38;04/02/2019;6:33:25
11;637;31.78;28.567;19.804;2.44;04/02/2019;6:33:26
11;638;31.79;28.564;19.813;2.58;04/02/2019;6:33:27
11;639;31.80;28.564;19.821;2.66;04/02/2019;6:33:28
11;640;31.78;28.569;19.804;2.75;04/02/2019;6:33:29
11;641;31.77;28.568;19.797;2.81;04/02/2019;6:33:30
11;642;31.76;28.571;19.790;2.93;04/02/2019;6:33:31
11;643;31.77;28.571;19.797;3.03;04/02/2019;6:33:32
11;644;31.77;28.568;19.799;3.17;04/02/2019;6:33:33
11;645;31.77;28.569;19.799;3.27;04/02/2019;6:33:34
11;646;31.78;28.569;19.807;3.32;04/02/2019;6:33:35
11;647;31.78;28.568;19.808;3.50;04/02/2019;6:33:36
11;648;31.77;28.568;19.801;3.54;04/02/2019;6:33:37
11;649;31.78;28.568;19.809;3.63;04/02/2019;6:33:38
11;650;31.77;28.568;19.801;3.73;04/02/2019;6:33:39
11;651;31.77;28.566;19.802;3.80;04/02/2019;6:33:40
11;652;31.77;28.567;19.803;3.99;04/02/2019;6:33:41
11;653;31.77;28.566;19.804;4.09;04/02/2019;6:33:42
11;654;31.77;28.563;19.805;4.22;04/02/2019;6:33:43
11;655;31.79;28.565;19.820;4.23;04/02/2019;6:33:44
11;656;31.80;28.563;19.829;4.45;04/02/2019;6:33:45
11;657;31.80;28.564;19.828;4.46;04/02/2019;6:33:46
11;658;31.80;28.564;19.828;4.47;04/02/2019;6:33:47
11;659;31.80;28.563;19.829;4.50;04/02/2019;6:33:48
